User_ID,Gender,Age,Location,Verification,Sexual_orientation,Sexual_polarity,Looking_for,Points_Rank,Last_login,Member_since,Number_of_Comments_in_public_forum,Time_spent_chating_H:M,Number_of_advertisments_posted,Number_of_offline_meetings_attended,Profile_pictures,Friends_ID_list,Risk
42527.0,male,"20,1",F,Non_Verified,bisexual,Switch,Nobody,-50,before_306_days,25.6.2016,0,0:0,0.0,0.0,0.0,,unknown_risk
4281.0,male,"41,9",G,Non_Verified,Heterosexual,Dominant,Nobody,-50,before_1617_days,28.12.2011,0,0:0,0.0,0.0,0.0,,unknown_risk
43437.0,male,"27,7",A,Non_Verified,Heterosexual,Dominant,Women,-50,before_245_days,14.8.2016,0,0:0,0.0,0.0,0.0,,unknown_risk
43756.0,male,"41,3",N,Non_Verified,Heterosexual,Submisive,Nobody,-50,before_69_days,31.8.2016,0,0:0,0.0,0.0,0.0,,unknown_risk
44804.0,male,"41,3",G,Non_Verified,Heterosexual,Dominant,Nobody,-50,before_166_days,22.10.2016,0,0:0,0.0,0.0,0.0,,unknown_risk
46667.0,female,"19,8",N,Non_Verified,bicurious,Submisive,Men,-50,before_10_days,27.1.2017,0,0:0,0.0,0.0,0.0,,unknown_risk
46774.0,male,"26,1",G,Non_Verified,bisexual,Submisive,Women,-50,before_86_days,2.2.2017,0,0:0,0.0,0.0,0.0,,unknown_risk
47712.0,male,"52,6",O,Non_Verified,bisexual,Dominant,Women,-50,before_38_days,20.3.2017,0,0:0,0.0,0.0,0.0,,unknown_risk
31647.0,male,"34,3",C,Non_Verified,Heterosexual,Switch,Women,-49,before_51_days,1.12.2014,2,54:44,0.0,0.0,0.0,,unknown_risk
20038.0,male,"42,6",O,Non_Verified,bisexual,Switch,Women,-47,before_4_days,30.7.2013,3,0:0,0.0,0.0,0.0,,unknown_risk
25268.0,male,"36,1",A,Non_Verified,Heterosexual,Dominant,Women,-46,before_1_days,27.2.2014,15,0:13,0.0,0.0,0.0,,unknown_risk
11580.0,male,"34,7",M,Non_Verified,Heterosexual,Dominant,Women,-45,before_4_days,26.10.2012,5,0:1,0.0,0.0,0.0,"27687,38375",unknown_risk
27096.0,female,"27,2",M,Non_Verified,bisexual,Switch,Nobody,-45,before_999_days,24.5.2014,0,0:0,0.0,0.0,2.0,,unknown_risk
29454.0,male,"46,3",B,Non_Verified,Heterosexual,Dominant,Women,-45,before_8_days,1.9.2014,0,0:0,0.0,0.0,2.0,29269,unknown_risk
32084.0,male,"24,7",G,Non_Verified,bisexual,Switch,Men_and_Women,-45,before_52_days,23.12.2014,0,0:0,0.0,1.0,1.0,,unknown_risk
33436.0,male,"25,8",K,Non_Verified,Heterosexual,Submisive,Nobody,-45,before_193_days,17.2.2015,0,0:27,0.0,0.0,1.0,,unknown_risk
35104.0,male,"46,8",G,Non_Verified,Heterosexual,Submisive,Nobody,-45,before_45_days,10.5.2015,0,0:0,0.0,0.0,1.0,,unknown_risk
36163.0,male,"31,7",A,Verified,Heterosexual,Dominant,Women,-45,before_101_days,7.7.2015,0,0:0,0.0,0.0,1.0,,unknown_risk
42365.0,male,"31,4",A,Non_Verified,Heterosexual,Submisive,Nobody,-45,before_231_days,16.6.2016,0,0:0,0.0,0.0,1.0,,unknown_risk
48557.0,female,"19,7",A,Non_Verified,Heterosexual,Dominant,Men,-45,before_3_days,26.4.2017,0,0:0,0.0,0.0,0.0,,unknown_risk
6392.0,male,"28,6",A,Non_Verified,Heterosexual,Submisive,Nobody_but_maybe,-45,before_369_days,5.7.2012,0,0:0,0.0,0.0,1.0,,unknown_risk
44900.0,male,"50,1",A,Non_Verified,Heterosexual,Dominant,Women,-44,before_9_days,27.10.2016,3,1:5,1.0,0.0,0.0,45158,unknown_risk
14039.0,male,"32,6",A,Non_Verified,bicurious,Submisive,Women,-40,before_283_days,12.1.2013,0,2:6,1.0,0.0,9.0,,unknown_risk
15662.0,male,"35,8",A,Non_Verified,Heterosexual,Submisive,Nobody,-40,before_1136_days,26.2.2013,1,2:13,0.0,0.0,0.0,,unknown_risk
40599.0,male,"44,3",C,Non_Verified,Heterosexual,Submisive,Nobody,-40,before_401_days,8.3.2016,0,0:0,0.0,0.0,0.0,,unknown_risk
41717.0,male,"37,2",H,Non_Verified,bicurious,Switch,Men_and_Women,-40,before_352_days,12.5.2016,0,0:0,0.0,0.0,3.0,,unknown_risk
47859.0,male,"40,2",B,Non_Verified,bisexual,Submisive,Women,-40,before_1_days,26.3.2017,0,0:9,0.0,0.0,0.0,,unknown_risk
48443.0,male,"35,1",A,Non_Verified,Heterosexual,Dominant,Nobody,-40,before_1_days,21.4.2017,5,0:0,0.0,0.0,1.0,,unknown_risk
8449.0,male,"30,8",A,Non_Verified,Heterosexual,Switch,Women,-40,before_8_days,4.8.2012,0,0:0,0.0,0.0,1.0,,unknown_risk
5970.0,male,"36,6",A,Non_Verified,Heterosexual,Dominant,Nobody,-37,before_1638_days,2.7.2012,3,0:2,1.0,0.0,0.0,,unknown_risk
12321.0,male,"43,1",L,Non_Verified,Heterosexual,Dominant,Women,-35,before_121_days,19.11.2012,0,0:35,2.0,0.0,0.0,,unknown_risk
1558.0,female,"30,6",L,Non_Verified,Homosexual,Submisive,Women,-35,before_83_days,16.9.2010,0,0:0,0.0,0.0,0.0,,unknown_risk
18899.0,male,"40,1",L,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,-35,before_723_days,16.6.2013,0,0:10,0.0,0.0,0.0,,unknown_risk
24093.0,male,"40,3",L,Non_Verified,Heterosexual,Dominant,Men_and_Women,-35,before_1140_days,8.1.2014,0,0:0,0.0,0.0,1.0,,unknown_risk
24795.0,male,"41,9",G,Non_Verified,Heterosexual,Dominant,Nobody,-35,before_1084_days,3.2.2014,0,0:0,1.0,0.0,0.0,,unknown_risk
26013.0,male,"32,3",A,Non_Verified,Heterosexual,Submisive,Nobody,-35,before_250_days,6.4.2014,0,0:0,0.0,0.0,0.0,21805,unknown_risk
27153.0,male,"28,2",A,Non_Verified,Heterosexual,Dominant,Women,-35,before_52_days,26.5.2014,0,0:0,0.0,0.0,0.0,,unknown_risk
28196.0,female,"30,3",B,Non_Verified,bisexual,Switch,Men,-35,before_956_days,10.7.2014,0,0:0,1.0,0.0,0.0,,unknown_risk
31527.0,female,"42,4",H,Non_Verified,Heterosexual,Submisive,Nobody_but_maybe,-35,before_10_days,25.11.2014,0,8:43,0.0,0.0,0.0,"6163,5238,37674",unknown_risk
41487.0,male,"19,5",E,Non_Verified,bisexual,Switch,Nobody,-35,before_311_days,30.4.2016,0,0:0,0.0,0.0,0.0,,unknown_risk
48075.0,male,"19,8",M,Non_Verified,bicurious,Switch,,-35,before_11_days,5.4.2017,0,0:0,0.0,0.0,0.0,,unknown_risk
5198.0,female,"22,4",S,Non_Verified,bicurious,Dominant,Men,-35,before_918_days,24.4.2012,1,0:59,0.0,0.0,6.0,,unknown_risk
5278.0,male,"36,2",A,Non_Verified,bisexual,Submisive,Women,-35,before_209_days,5.5.2012,0,0:0,2.0,0.0,0.0,,unknown_risk
6833.0,male,46,B,Non_Verified,Heterosexual,Dominant,Men_and_Women,-35,before_11_days,9.7.2012,2,16:13,0.0,0.0,0.0,,unknown_risk
25149.0,male,"26,4",A,Non_Verified,bicurious,Submisive,Men_and_Women,-31,before_531_days,20.2.2014,29,0:8,2.0,0.0,0.0,,unknown_risk
12294.0,male,"46,3",K,Non_Verified,Heterosexual,Dominant,Women,-30,before_255_days,18.11.2012,1,0:0,1.0,0.0,0.0,,unknown_risk
14945.0,male,"41,3",A,Non_Verified,Heterosexual,Dominant,Women,-30,before_250_days,3.2.2013,0,0:1,2.0,0.0,0.0,11796,unknown_risk
1735.0,male,"44,7",A,Non_Verified,Heterosexual,Dominant,Nobody,-30,before_121_days,18.10.2010,0,22:12,0.0,0.0,0.0,,unknown_risk
18376.0,male,37,A,Non_Verified,Heterosexual,Dominant,Nobody,-30,before_874_days,30.5.2013,0,0:0,0.0,0.0,0.0,21223,unknown_risk
21292.0,male,"46,7",B,Non_Verified,Heterosexual,Dominant,Women,-30,before_126_days,18.9.2013,0,4:5,0.0,0.0,0.0,"25045,10938,13717",unknown_risk
30661.0,male,"28,7",A,Non_Verified,Heterosexual,Switch,Nobody,-30,before_826_days,20.10.2014,0,0:0,0.0,0.0,0.0,,unknown_risk
33702.0,female,"47,9",G,Non_Verified,Heterosexual,Dominant,Nobody,-30,before_748_days,1.3.2015,0,0:0,0.0,0.0,0.0,,unknown_risk
33978.0,male,"24,2",H,Non_Verified,Heterosexual,Submisive,,-30,before_77_days,13.3.2015,0,4:9,1.0,0.0,0.0,,unknown_risk
34263.0,female,"26,3",B,Non_Verified,Heterosexual,Switch,,-30,before_156_days,26.3.2015,0,0:0,3.0,0.0,0.0,,unknown_risk
34778.0,female,"33,6",A,Non_Verified,bicurious,Submisive,Nobody_but_maybe,-30,before_3_days,22.4.2015,0,0:0,0.0,0.0,0.0,44666,unknown_risk
43762.0,female,"36,2",A,Non_Verified,Heterosexual,Submisive,Nobody,-30,before_216_days,31.8.2016,7,0:0,0.0,0.0,0.0,,unknown_risk
44481.0,male,"54,2",G,Non_Verified,Heterosexual,Switch,Nobody,-30,before_204_days,5.10.2016,0,0:0,1.0,0.0,0.0,,unknown_risk
44638.0,male,"27,6",A,Non_Verified,bicurious,Switch,Women,-30,before_95_days,15.10.2016,0,0:0,0.0,0.0,0.0,,unknown_risk
44726.0,male,"49,3",A,Non_Verified,Heterosexual,Dominant,Nobody,-30,before_191_days,19.10.2016,0,1:27,0.0,0.0,0.0,,unknown_risk
44788.0,male,"30,9",A,Non_Verified,Heterosexual,Dominant,Women,-30,before_3_days,21.10.2016,0,0:0,0.0,0.0,1.0,,unknown_risk
46122.0,male,"26,5",J,Non_Verified,Heterosexual,Dominant,Women,-30,before_95_days,2.1.2017,0,0:0,0.0,0.0,0.0,30977,unknown_risk
47407.0,male,"53,4",G,Verified,bisexual,Submisive,Women,-30,before_5_days,6.3.2017,0,0:0,0.0,0.0,0.0,,unknown_risk
7920.0,male,"40,3",S,Non_Verified,Heterosexual,Dominant,Women,-30,before_784_days,25.7.2012,0,0:1,2.0,0.0,0.0,,unknown_risk
41492.0,female,"40,2",A,Non_Verified,bicurious,Switch,Nobody,-28,before_187_days,30.4.2016,1,0:0,0.0,0.0,0.0,,unknown_risk
26550.0,male,"21,3",M,Non_Verified,Heterosexual,Switch,Women,-27,before_253_days,2.5.2014,3,0:15,7.0,0.0,4.0,"27217,31903,39607",unknown_risk
18820.0,male,28,J,Non_Verified,Heterosexual,Switch,Women,-26,before_1_days,12.6.2013,4,3:23,0.0,0.0,0.0,"40351,24148,43311",No_risk
11687.0,male,"42,3",K,Non_Verified,Heterosexual,Dominant,Women,-25,before_347_days,30.10.2012,0,5:4,0.0,0.0,0.0,,unknown_risk
16780.0,male,"42,8",A,Non_Verified,bisexual,Submisive,Nobody,-25,before_1377_days,3.4.2013,0,0:4,0.0,0.0,0.0,,unknown_risk
17792.0,male,"45,3",E,Non_Verified,Heterosexual,Dominant,Women,-25,before_1074_days,9.5.2013,0,2:49,0.0,0.0,0.0,,unknown_risk
17793.0,male,"29,8",N,Non_Verified,Heterosexual,Submisive,Women,-25,before_7_days,9.5.2013,0,0:0,3.0,0.0,1.0,46911,unknown_risk
24698.0,female,"37,7",A,Non_Verified,Heterosexual,Submisive,Nobody_but_maybe,-25,before_933_days,29.1.2014,0,0:0,0.0,0.0,0.0,21850,unknown_risk
42350.0,male,"46,4",L,Verified,Heterosexual,Dominant,Women,-25,before_71_days,15.6.2016,0,0:0,0.0,0.0,0.0,,unknown_risk
44174.0,male,"35,7",A,Non_Verified,Heterosexual,Switch,Nobody,-25,before_218_days,20.9.2016,0,0:0,0.0,0.0,1.0,,unknown_risk
5533.0,male,"27,9",S,Non_Verified,Heterosexual,Submisive,Nobody,-25,before_1785_days,7.6.2012,0,0:0,0.0,0.0,0.0,,unknown_risk
7124.0,male,"24,5",A,Non_Verified,Heterosexual,Submisive,Women,-25,before_668_days,14.7.2012,0,0:0,0.0,0.0,5.0,6300,unknown_risk
14700.0,male,"42,4",A,Non_Verified,Heterosexual,Dominant,Women,-22,before_352_days,27.1.2013,9,0:1,0.0,0.0,0.0,,unknown_risk
36557.0,female,"25,2",K,Non_Verified,bisexual,Switch,Men_and_Women,-21,before_2_days,28.7.2015,5,0:0,0.0,1.0,0.0,"34914,4464,35459,32371,33796",unknown_risk
10631.0,male,"28,4",O,Non_Verified,bisexual,Switch,Nobody,-20,before_55_days,25.9.2012,0,0:34,0.0,0.0,0.0,,unknown_risk
12763.0,male,"34,2",O,Non_Verified,Heterosexual,Switch,Women,-20,before_1205_days,4.12.2012,0,6:41,2.0,0.0,0.0,12011,unknown_risk
14404.0,male,"48,7",A,Non_Verified,Heterosexual,Switch,Nobody,-20,before_1258_days,20.1.2013,0,0:0,0.0,0.0,0.0,,unknown_risk
14963.0,male,"32,1",K,Non_Verified,Heterosexual,Dominant,Nobody,-20,before_908_days,3.2.2013,0,0:0,0.0,0.0,0.0,,unknown_risk
15131.0,male,"40,2",B,Non_Verified,Heterosexual,Dominant,Nobody,-20,before_1208_days,8.2.2013,0,0:0,1.0,0.0,0.0,,unknown_risk
16522.0,male,"34,4",A,Non_Verified,Heterosexual,Dominant,Nobody,-20,before_84_days,26.3.2013,0,0:0,1.0,0.0,0.0,,unknown_risk
17739.0,female,"22,8",O,Non_Verified,Heterosexual,Dominant,Nobody,-20,before_1453_days,7.5.2013,0,0:0,0.0,0.0,0.0,,unknown_risk
18501.0,male,28,A,Non_Verified,Heterosexual,Switch,Nobody,-20,before_1259_days,2.6.2013,0,0:0,0.0,0.0,0.0,,unknown_risk
21379.0,male,"23,9",S,Non_Verified,Heterosexual,Submisive,Men_and_Women,-20,before_1310_days,22.9.2013,0,0:0,0.0,0.0,1.0,,unknown_risk
21550.0,female,"46,4",E,Non_Verified,Heterosexual,Dominant,Nobody,-20,before_706_days,30.9.2013,0,0:0,0.0,0.0,0.0,,unknown_risk
2163.0,male,"44,5",D,Non_Verified,Heterosexual,Dominant,Nobody,-20,before_559_days,8.1.2011,0,0:0,0.0,0.0,0.0,,unknown_risk
22444.0,male,"27,7",B,Non_Verified,Heterosexual,Submisive,Nobody,-20,before_1262_days,4.11.2013,0,0:23,0.0,0.0,0.0,,unknown_risk
24765.0,male,"26,9",A,Non_Verified,Heterosexual,Switch,Nobody,-20,before_1069_days,2.2.2014,0,0:0,0.0,0.0,0.0,,unknown_risk
24869.0,male,"21,8",A,Non_Verified,Heterosexual,Submisive,Nobody,-20,before_1121_days,6.2.2014,0,0:0,0.0,0.0,0.0,,unknown_risk
25145.0,male,"45,1",O,Non_Verified,Heterosexual,Submisive,Nobody,-20,before_1164_days,20.2.2014,0,0:0,0.0,0.0,0.0,,unknown_risk
26552.0,male,"35,7",A,Non_Verified,Heterosexual,Dominant,Women,-20,before_612_days,2.5.2014,0,0:0,0.0,0.0,0.0,18162,unknown_risk
26982.0,male,"47,1",L,Non_Verified,Heterosexual,Submisive,Nobody,-20,before_1025_days,19.5.2014,0,0:0,0.0,0.0,0.0,,unknown_risk
28637.0,male,"24,9",D,Non_Verified,Heterosexual,Switch,Women,-20,before_274_days,29.7.2014,0,0:0,0.0,0.0,0.0,,unknown_risk
28769.0,male,"22,5",A,Non_Verified,Heterosexual,Switch,Women,-20,before_97_days,4.8.2014,0,0:0,1.0,0.0,12.0,,unknown_risk
29016.0,female,"41,7",A,Non_Verified,Heterosexual,Submisive,Nobody,-20,before_977_days,15.8.2014,0,0:0,0.0,0.0,0.0,,unknown_risk
30429.0,female,"27,3",O,Non_Verified,bicurious,Switch,Nobody,-20,before_710_days,9.10.2014,5,0:0,0.0,0.0,0.0,"2460,30009,30188,20753,18996",unknown_risk
